method,lambda,mask_bits,fitness,auc,selected_count,selected_ratio,seconds,model_fits_so_far,final_cv_auc,final_cv_fitness,final_cv_seconds,final_cv_folds,run_dir,preset,seed,mode,device,rows,search_features
SA,0.05,001000110111101101001100110000010100000101000101011011110010000010110001101100001000010010101000001000100110110000101000010011110010000100010010001011,0.8155833333333333,0.83525,59,0.3933333333333333,1952.5368224999984,54985,0.854474767198146,0.8348081005314794,12.500246499999776,5,results\run_20260615_005758,word_strict,42,real,cpu,20000,150
TopK_MI_56,0.05,111111111111111111111111111111111111111111111111111111110000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.7094530594621267,0.7281197261287934,56,0.3733333333333333,0.4159672999958275,54990,0.7442372230329887,0.725570556366322,10.772313299996313,5,results\run_20260615_005758,word_strict,42,real,cpu,20000,150
TopK_MI_59,0.05,111111111111111111111111111111111111111111111111111111111110000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.7165838884776707,0.7362505551443375,59,0.3933333333333333,0.418119599999045,54995,0.7481805948835978,0.7285139282169311,11.098866000000273,5,results\run_20260615_005758,word_strict,42,real,cpu,20000,150
AllSearchFeatures,0.1,111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,0.7291012213175424,0.8291012213175424,150,1.0,0.7629522999923211,5,0.8584188459330404,0.7584188459330404,22.214502300004824,5,results\run_20260615_005758,word_strict,42,real,cpu,20000,150
RandomSearch,0.1,010000010100100010000000000000100001011010000000000010000000000000110000000100000100000001000100001010000000010100000000010010100010000010011000001001,0.799020725388601,0.819020725388601,30,0.2,2270.7450734000013,25010,0.8382714193231153,0.8182714193231153,9.345829700003378,5,results\run_20260615_005758,word_strict,42,real,cpu,20000,150
GA,0.1,100000001101100000100000001011100001010110011000110000010000100000100000001001001010100000010101011010110000010001100000100110110001101000000001000000,0.8084380705650137,0.8391047372316803,46,0.3066666666666666,847.6399141000002,34350,0.8551969420311055,0.8245302753644389,11.065020499998354,5,results\run_20260615_005758,word_strict,42,real,cpu,20000,150
SA,0.1,010110101000000000000100000001001000000100000000000010011100000010001001101000101000111110010110011101100000011010000001100001110101101101100000110000,0.8092405008635579,0.8425738341968912,50,0.3333333333333333,2061.6931812999974,55590,0.8579538876352686,0.8246205543019353,11.717234600000666,5,results\run_20260615_005758,word_strict,42,real,cpu,20000,150
TopK_MI_46,0.1,111111111111111111111111111111111111111111111100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.6865557611645694,0.717222427831236,46,0.3066666666666666,0.3665188000013586,55595,0.7328224558795362,0.7021557892128696,9.910312499996508,5,results\run_20260615_005758,word_strict,42,real,cpu,20000,150
TopK_MI_50,0.1,111111111111111111111111111111111111111111111111110000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.6840552677029362,0.7173886010362696,50,0.3333333333333333,0.3804151000076672,55600,0.732843937923559,0.6995106045902256,10.12900040000386,5,results\run_20260615_005758,word_strict,42,real,cpu,20000,150
AllSearchFeatures,0.2,111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,0.6291012213175424,0.8291012213175424,150,1.0,0.833577299999888,5,0.8584188459330404,0.6584188459330405,22.21019179999712,5,results\run_20260615_005758,word_strict,42,real,cpu,20000,150
